"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"04-Jul-2024","25-Jul-2024","CE","23,000.00","1,405.00","1,474.70","1,357.15","1,379.80","1,390.50","1,379.80","1,55,075","3,78,56,87,736.25","21,89,62,736.25","12,32,975","-10,475"
"03-Jul-2024","25-Jul-2024","CE","23,000.00","1,305.00","1,405.35","1,305.00","1,371.20","1,386.85","1,371.20","1,63,375","3,97,98,22,050.00","22,21,97,050.00","12,43,450","-21,000"
"02-Jul-2024","25-Jul-2024","CE","23,000.00","1,265.00","1,314.00","1,170.05","1,240.80","1,247.00","1,240.80","1,36,200","3,30,30,75,412.50","17,04,75,412.50","12,64,450","-21,650"
"01-Jul-2024","25-Jul-2024","CE","23,000.00","1,151.00","1,265.00","1,140.00","1,246.35","1,252.50","1,246.35","1,03,875","2,51,61,05,411.25","12,69,80,411.25","12,86,100","-25,500"
"28-Jun-2024","25-Jul-2024","CE","23,000.00","1,194.85","1,300.00","1,165.10","1,185.10","1,189.65","1,185.10","2,41,225","5,84,72,07,676.25","29,90,32,676.25","13,11,600","-1,900"
"27-Jun-2024","25-Jul-2024","CE","23,000.00","1,056.75","1,185.95","1,004.00","1,165.85","1,160.00","1,165.85","5,89,875","14,22,69,62,971.25","65,98,37,971.25","13,13,500","1,85,400"
"26-Jun-2024","25-Jul-2024","CE","23,000.00","932.05","1,089.70","908.10","1,059.20","1,056.75","1,059.20","2,94,950","7,08,49,71,446.25","30,11,21,446.25","11,28,100","69,775"
"25-Jun-2024","25-Jul-2024","CE","23,000.00","835.00","965.75","829.05","951.95","959.00","951.95","3,17,975","7,59,64,98,933.75","28,30,73,933.75","10,58,325","96,650"
"24-Jun-2024","25-Jul-2024","CE","23,000.00","693.05","833.70","655.30","820.45","829.00","820.45","3,82,450","9,08,96,55,597.50","29,33,05,597.50","9,61,675","54,850"
"21-Jun-2024","25-Jul-2024","CE","23,000.00","844.00","879.20","722.25","758.90","749.45","758.90","3,86,475","9,19,67,57,682.50","30,78,32,682.50","9,06,825","54,600"
"20-Jun-2024","25-Jul-2024","CE","23,000.00","805.00","883.15","760.00","844.00","849.60","844.00","2,67,700","6,37,80,70,492.50","22,09,70,492.50","8,52,225","49,000"
"19-Jun-2024","25-Jul-2024","CE","23,000.00","848.50","932.80","742.15","799.20","805.00","799.20","2,81,325","6,70,31,25,501.25","23,26,50,501.25","8,03,225","-14,325"
